source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
1776317182780536064,0.6666,0.6406,0.6696,3260.1992,3253.2678,3306.8984,3.999,3.977,4.1676,,,,332.87693362037527,18.426998565560215,9.258272,10.469459,8.161534,11.7055,11.6613,11.7196,342.2003111085037,27.520249115745585
3478160727866058368,0.4812,0.481,0.4815,3580.5154,3580.2756,3580.7551,4.7611,4.7597,4.7625,,,,173.8619077285848,-32.543748247776854,8.896746,10.037303,7.8296757,9.0646,9.0608,9.0692,188.90221477736742,-31.96542080742877
3478127463341507072,0.7426,0.7405,0.7456,5225.1025,5211.9385,5232.7554,4.5879,4.5681,4.6,-0.03,-0.05,-0.02,173.61931513361625,-32.82768460705796,5.7383237,6.154197,5.1501684,9.5357,9.52,9.5531,188.84557426406244,-32.31184196872354
3060641356390249728,0.4824,0.4646,0.4846,3124.4966,3121.8374,3158.3237,4.1537,4.1429,4.2904,,,,112.19128658651584,-3.301647006516706,10.296098,11.681078,9.137914,11.6938,11.5369,11.7323,114.5578412971828,-24.868797304377377
3517841140438425600,0.2996,0.2967,0.315,3178.3872,3174.5317,3193.0112,4.4487,4.4366,4.5126,,,,182.81963496571075,-19.973535053310865,11.409176,12.891855,10.212793,12.7568,12.6172,13.4637,190.75431563447546,-17.158048006118634
3517841209157902720,0.4504,0.4494,0.4508,3140.9067,3140.1465,3143.3545,4.1958,4.1931,4.205,,,,182.79799193877028,-19.96139412325039,10.58782,11.947852,9.4342,12.7444,12.7347,12.7518,190.72967060956432,-17.155464609310794
3521407509481957120,0.1841,0.1838,0.1877,2936.4175,2935.6887,2937.3525,5.0962,5.0895,5.097,,,,186.3796671904045,-15.994797913811775,13.332698,15.469015,11.985339,12.918,12.9009,13.1092,192.2605886530282,-12.141327631483938
3519785523672576384,0.3278,0.3275,0.3286,3218.6958,3217.7913,3219.659,4.4619,4.4586,4.4646,,,,186.22388950027022,-18.25255602337988,10.290013,11.536975,9.179356,8.8792,8.8748,8.9002,193.06277226731197,-14.264952981791863
2261614264931057664,0.827,0.8226,0.828,5153.247,5151.177,5158.7666,4.5007,4.4992,4.5074,-0.01,-0.03,0.02,293.09759805108064,69.65345106254792,4.449041,4.859488,3.8651726,5.7628,5.755,5.7669,30.242940617813403,80.91551902428145
6910371005081903488,0.567,0.5426,0.5749,3215.171,3209.4448,3309.71,4.1362,4.1061,4.4201,,,,315.49330858498587,-6.320708212599972,10.18349,11.469987,9.055492,14.4481,14.2602,14.5287,316.06203143669956,10.14470178217708
